iot_id,observation_type,lat,lon
16226,car,53.681347,10.031249
16230,car,53.681348,10.031098
16234,car,53.681345,10.0314
16238,car,53.566772,9.934085
16242,car,53.566862,9.934087
16246,car,53.566682,9.934083
16250,car,53.614783,10.156248
16254,car,53.628194,10.03455
16258,car,53.62813,10.034654
16262,car,53.544303,9.980858
16266,car,53.594755,9.924775
16270,car,53.594693,9.924668
16274,car,53.594817,9.924882
16278,car,53.628258,10.034445
16294,car,53.54647,9.933562
16298,car,53.54656,9.933564
16302,car,53.54638,9.93356
16306,car,53.541273,10.03009
16310,car,53.541335,10.030197
16314,car,53.457078,9.98469
16322,car,53.54439,10.083275
16326,car,53.544388,10.083426
16330,car,53.542382,10.032848
16334,car,53.542444,10.032956
16338,car,53.515198,10.165027
16342,car,53.515259,10.165135
16346,car,53.514304,10.16912
16350,car,53.51424,10.169224
16354,car,53.576943,10.048553
16358,car,53.576944,10.048402
16362,car,53.576942,10.048704
16366,car,53.514368,10.169016
16370,car,53.433452,10.011811
16374,car,53.433453,10.01166
16378,car,53.45613,9.894832
16382,car,53.456131,9.894681
16386,car,53.456129,9.894982
16390,car,53.433451,10.011961
16394,car,53.54232,10.032741
16398,car,53.45714,9.984797
16402,car,53.544389,9.997642
16406,car,53.54439,9.997491
16410,car,53.541075,10.003767
16414,car,53.541073,10.003918
16418,car,53.541076,10.003616
16422,car,53.544013,9.997407
16426,car,53.544103,9.997409
16430,car,53.544293,9.998334
16434,car,53.544229,9.998438
16438,car,53.505693,10.22205
16442,car,53.505757,10.221946
16446,car,53.505629,10.222154
16450,car,53.544357,9.99823
16454,car,53.544388,9.997793
16458,car,53.543923,9.997405
16462,car,53.679578,10.046513
16466,car,53.67958,10.046361
16470,car,53.679577,10.046664
16474,car,53.593841,10.110422
16478,car,53.62747,10.026729
16482,car,53.627472,10.026578
16486,car,53.584854,9.988292
16490,car,53.584855,9.988141
16494,car,53.584853,9.988444
16498,car,53.627469,10.02688
16502,car,53.653712,10.108076
16506,car,53.569336,9.944138
16510,car,53.569337,9.943987
16514,car,53.554714,10.034039
16518,car,53.554804,10.034042
16522,car,53.554624,10.034037
16526,car,53.676737,10.142986
16530,car,53.676673,10.143091
16534,car,53.425723,9.9309
16538,car,53.425724,9.930749
16542,car,53.513454,10.213768
16546,car,53.513544,10.21377
16550,car,53.614068,10.15573
